val_acc,val_top_10_acc,val_loss,epoch,step,loss,acc,top_10_acc
0.6483932137489319,0.8509995341300964,1.8154633045196533,0,3350,,,
,,,0,3351,2.669506311416626,0.5643377900123596,0.7355959415435791
0.6828314661979675,0.8787955641746521,1.664587378501892,1,6701,,,
,,,1,6702,1.0219569206237793,0.7958951592445374,0.9210730195045471
0.6943066716194153,0.9004301428794861,1.6033689975738525,2,10052,,,
,,,2,10053,0.8628385066986084,0.8226848840713501,0.9331888556480408
0.694648265838623,0.8994812965393066,1.7337464094161987,3,13403,,,
,,,3,13404,0.7803316712379456,0.8369396328926086,0.9383692145347595
0.7078061699867249,0.90409916639328,1.726711392402649,4,16754,,,
,,,4,16755,0.7236789464950562,0.846644937992096,0.9431065917015076
0.7033780217170715,0.9051746129989624,1.818336009979248,5,20105,,,
,,,5,20106,0.6924905180931091,0.8521043658256531,0.9445142149925232
0.720749020576477,0.9061867594718933,1.8082529306411743,6,23456,,,
,,,6,23457,0.6660101413726807,0.8565673232078552,0.9469234943389893
0.767143189907074,0.9169408082962036,1.5524325370788574,7,26807,,,
,,,7,26808,0.5121945142745972,0.8893213868141174,0.9517560601234436
0.7673962712287903,0.9194711446762085,1.5520943403244019,8,30158,,,
,,,8,30159,0.4809170961380005,0.8962056636810303,0.9532089233398438
0.7733426094055176,0.9207363128662109,1.559904932975769,9,33509,,,
,,,9,33510,0.4751889109611511,0.8979448676109314,0.953096330165863
0.7773279547691345,0.920356810092926,1.5405782461166382,10,36860,,,
,,,10,36861,0.46954378485679626,0.8983992338180542,0.9534014463424683
0.7778719663619995,0.9204832911491394,1.5677739381790161,11,40211,,,
,,,11,40212,0.461237370967865,0.900180995464325,0.9539476037025452
0.7837803363800049,0.9220647811889648,1.5374445915222168,12,43562,,,
,,,12,43563,0.44964346289634705,0.902442455291748,0.954586386680603
0.7786563634872437,0.9212424159049988,1.5718536376953125,13,46913,,,
,,,13,46914,0.44400185346603394,0.9031765460968018,0.9549201726913452
0.7823253870010376,0.9206098318099976,1.577966570854187,14,50264,,,
,,,14,50265,0.4426817297935486,0.9039619565010071,0.9550946354866028
0.7836285829544067,0.9222545623779297,1.5575430393218994,15,53615,,,
,,,15,53616,0.43791085481643677,0.9052055478096008,0.9554843902587891
0.7840966582298279,0.9226973652839661,1.5807875394821167,16,56966,,,
,,,16,56967,0.43961864709854126,0.9043775200843811,0.9552391767501831
0.7908021211624146,0.9234564900398254,1.5639687776565552,17,60317,,,
,,,17,60318,0.41486281156539917,0.9103825688362122,0.9557660818099976
0.7932692170143127,0.9238992929458618,1.5562386512756348,18,63668,,,
,,,18,63669,0.40832504630088806,0.9117001295089722,0.9560225605964661
0.7935855388641357,0.9237727522850037,1.5554832220077515,19,67019,,,
,,,19,67020,0.4030982553958893,0.9131062626838684,0.9571089744567871
0.7938385605812073,0.9247848987579346,1.5428277254104614,20,70370,,,
,,,20,70371,0.403768390417099,0.9126933217048645,0.9567659497261047
0.7935222387313843,0.9254807829856873,1.5511939525604248,21,73721,,,
,,,21,73722,0.4016351103782654,0.9139668941497803,0.9562117457389832
0.7949139475822449,0.9249746799468994,1.5443087816238403,22,77072,,,
,,,22,77073,0.393973708152771,0.9150480031967163,0.9571136236190796
0.7951670289039612,0.9247848987579346,1.5422593355178833,23,80423,,,
,,,23,80424,0.3949684202671051,0.9152764678001404,0.9570623636245728
0.7956098318099976,0.9251644611358643,1.5466899871826172,24,83774,,,
,,,24,83775,0.3939213156700134,0.9155516028404236,0.9566493630409241
0.7960526347160339,0.925544023513794,1.5455102920532227,25,87125,,,
,,,25,87126,0.39435192942619324,0.915402352809906,0.9569783806800842
0.7964954376220703,0.9252277612686157,1.542313814163208,26,90476,,,
,,,26,90477,0.3954744338989258,0.9151158928871155,0.9561437368392944
0.796875,0.9254174828529358,1.5424784421920776,27,93827,,,
,,,27,93828,0.39289069175720215,0.9155122637748718,0.9569251537322998
0.7963056564331055,0.925544023513794,1.543262004852295,28,97178,,,
,,,28,97179,0.38877543807029724,0.9164214730262756,0.9574940204620361
0.7963689565658569,0.9254807829856873,1.544165849685669,29,100529,,,
,,,29,100530,0.3872937858104706,0.9170602560043335,0.9576199054718018
0.7966219782829285,0.9254174828529358,1.5430399179458618,30,103880,,,
,,,30,103881,0.39608171582221985,0.9152464866638184,0.9563302993774414
0.7966219782829285,0.9254174828529358,1.5441882610321045,31,107231,,,
,,,31,107232,0.3948194682598114,0.9149993062019348,0.9566081166267395
0.7968117594718933,0.9256072640419006,1.5429009199142456,32,110582,,,
,,,32,110583,0.39100608229637146,0.9159412384033203,0.9566519856452942
0.7970015406608582,0.9256072640419006,1.5427465438842773,33,113933,,,
,,,33,113934,0.38973626494407654,0.9161370396614075,0.9568851590156555
0.7966852188110352,0.9256705641746521,1.5435192584991455,34,117284,,,
,,,34,117285,0.3913313150405884,0.9163702130317688,0.9564887881278992
0.7966852188110352,0.9256072640419006,1.5434592962265015,35,120635,,,
,,,35,120636,0.3901931941509247,0.9159784913063049,0.9575966000556946
0.7966219782829285,0.9256072640419006,1.5426870584487915,36,123986,,,
,,,36,123987,0.390266478061676,0.9164354801177979,0.9572535157203674
0.7967484593391418,0.9256072640419006,1.542708158493042,37,127337,,,
,,,37,127338,0.3939094841480255,0.9154636859893799,0.9570184350013733
0.7967484593391418,0.9256072640419006,1.5428575277328491,38,130688,,,
,,,38,130689,0.39359331130981445,0.9157993793487549,0.9562723636627197
0.7967484593391418,0.925544023513794,1.54294753074646,39,134039,,,
,,,39,134040,0.39208829402923584,0.9158693552017212,0.9566220641136169
0.7967484593391418,0.9256072640419006,1.5432168245315552,40,137390,,,
,,,40,137391,0.39184266328811646,0.9162769317626953,0.9565168023109436
0.7968117594718933,0.9256072640419006,1.5432192087173462,41,140741,,,
,,,41,140742,0.39103737473487854,0.9162163138389587,0.9571555852890015
0.7968117594718933,0.9256072640419006,1.5432180166244507,42,144092,,,
,,,42,144093,0.39426571130752563,0.9154636859893799,0.9565194845199585
