val_triplet_acc,val_loss,epoch,step,loss,triplet_acc
0.2606907784938812,0.9855515360832214,0,738,,
,,0,739,1.0317505598068237,0.1839274913072586
0.3863866329193115,0.8876222372055054,1,1477,,
,,1,1478,0.9455404281616211,0.32317450642585754
0.48273026943206787,0.8529399633407593,2,2216,,
,,2,2217,0.886114776134491,0.4061209261417389
0.500316321849823,0.815748393535614,3,2955,,
,,3,2956,0.8526861667633057,0.45210355520248413
0.5348557829856873,0.7956148386001587,4,3694,,
,,4,3695,0.8281839489936829,0.48896968364715576
0.5150556564331055,0.78281170129776,5,4433,,
,,5,4434,0.8087536692619324,0.5182613730430603
0.5533906817436218,0.7623249292373657,6,5172,,
,,6,5173,0.7907641530036926,0.5433331727981567
0.5501012206077576,0.7567616701126099,7,5911,,
,,7,5912,0.7745105028152466,0.5653769373893738
0.5808704495429993,0.7405440211296082,8,6650,,
,,8,6651,0.7620688676834106,0.5794599652290344
0.593003511428833,0.7266585230827332,9,7389,,
,,9,7390,0.7515450716018677,0.5932111740112305
0.5863993167877197,0.729264497756958,10,8128,,
,,10,8129,0.738519549369812,0.6099488139152527
0.5955339074134827,0.721935510635376,11,8867,,
,,11,8868,0.7305666208267212,0.6172549724578857
0.5998987555503845,0.7127242684364319,12,9606,,
,,12,9607,0.7212090492248535,0.6260513067245483
0.6162576079368591,0.7049780488014221,13,10345,,
,,13,10346,0.7133634090423584,0.6329141855239868
0.6154605150222778,0.7000013589859009,14,11084,,
,,14,11085,0.7090734243392944,0.636424720287323
0.6271634697914124,0.691398561000824,15,11823,,
,,15,11824,0.7006682753562927,0.6420992016792297
0.6163461208343506,0.6961281299591064,16,12562,,
,,16,12563,0.6925913691520691,0.6481039524078369
0.6211538314819336,0.6904609203338623,17,13301,,
,,17,13302,0.6896196007728577,0.6486667990684509
0.6403467059135437,0.678464412689209,18,14040,,
,,18,14041,0.6826645731925964,0.6521124243736267
0.644686222076416,0.6765327453613281,19,14779,,
,,19,14780,0.6739644408226013,0.6584299802780151
0.6293142437934875,0.6814674735069275,20,15518,,
,,20,15519,0.6663639545440674,0.6663886308670044
0.651328444480896,0.6653949022293091,21,16257,,
,,21,16258,0.6623201370239258,0.6677126884460449
0.638714611530304,0.6716955900192261,22,16996,,
,,22,16997,0.6543779969215393,0.6731042265892029
0.6648911833763123,0.6514825820922852,23,17735,,
,,23,17736,0.6484521627426147,0.6783944368362427
0.6605010032653809,0.6502862572669983,24,18474,,
,,24,18475,0.6416152119636536,0.6863400340080261
0.6677378416061401,0.6454447507858276,25,19213,,
,,25,19214,0.6371751427650452,0.6908647418022156
0.6758096814155579,0.6381294131278992,26,19952,,
,,26,19953,0.6331185102462769,0.6938714385032654
0.6649923920631409,0.6490534543991089,27,20691,,
,,27,20692,0.629324197769165,0.6948907375335693
0.6764423251152039,0.6357983350753784,28,21430,,
,,28,21431,0.6251892447471619,0.702908456325531
0.6831477880477905,0.6308647990226746,29,22169,,
,,29,22170,0.619748055934906,0.7104311585426331
0.6878921985626221,0.6263505816459656,30,22908,,
,,30,22909,0.6180278062820435,0.7125579118728638
0.6846027374267578,0.624556303024292,31,23647,,
,,31,23648,0.6110633611679077,0.721307635307312
0.6947875022888184,0.6186457872390747,32,24386,,
,,32,24387,0.607691764831543,0.7268421053886414
0.698519766330719,0.6120014190673828,33,25125,,
,,33,25126,0.6030285954475403,0.7305261492729187
0.695546567440033,0.6220836639404297,34,25864,,
,,34,25865,0.6001748442649841,0.7364324927330017
0.7046812176704407,0.614877462387085,35,26603,,
,,35,26604,0.593889057636261,0.7448650598526001
0.7151694893836975,0.6022135019302368,36,27342,,
,,36,27343,0.5889867544174194,0.7509543895721436
0.716295599937439,0.6016778945922852,37,28081,,
,,37,28082,0.5863708257675171,0.7547813057899475
0.7136639952659607,0.5994726419448853,38,28820,,
,,38,28821,0.5809093117713928,0.761623740196228
0.7230643033981323,0.5904297828674316,39,29559,,
,,39,29560,0.5771982073783875,0.7667062282562256
0.713284432888031,0.606128990650177,40,30298,,
,,40,30299,0.5738468766212463,0.7715524435043335
0.7233173251152039,0.5953065752983093,41,31037,,
,,41,31038,0.5688097476959229,0.778706967830658
0.7256579399108887,0.594698965549469,42,31776,,
,,42,31777,0.5644063353538513,0.7832367420196533
0.7306174039840698,0.5836553573608398,43,32515,,
,,43,32516,0.5598872900009155,0.7864804863929749
0.732578456401825,0.5887520909309387,44,33254,,
,,44,33255,0.5574067831039429,0.7910510897636414
0.7369559407234192,0.5795924663543701,45,33993,,
,,45,33994,0.553067147731781,0.7947766780853271
0.7421305775642395,0.5766872763633728,46,34732,,
,,46,34733,0.5496610403060913,0.7975034713745117
0.741409420967102,0.5778294801712036,47,35471,,
,,47,35472,0.5456257462501526,0.8022148013114929
0.7344129681587219,0.5798237919807434,48,36210,,
,,48,36211,0.5433898568153381,0.8052215576171875
0.7362854480743408,0.5836990475654602,49,36949,,
,,49,36950,0.5392042398452759,0.8050822615623474
0.7445976734161377,0.5715533494949341,50,37688,,
,,50,37689,0.5368707180023193,0.8068495988845825
0.7427631616592407,0.5750636458396912,51,38427,,
,,51,38428,0.5334766507148743,0.8103929162025452
0.7459008693695068,0.5644431114196777,52,39166,,
,,52,39167,0.5327616333961487,0.8116747140884399
0.7514296770095825,0.5585074424743652,53,39905,,
,,53,39906,0.5270970463752747,0.8135600686073303
0.7531756162643433,0.5524371266365051,54,40644,,
,,54,40645,0.5237292051315308,0.8176371455192566
0.7567181587219238,0.5604062676429749,55,41383,,
,,55,41384,0.5213199257850647,0.817539393901825
0.747229278087616,0.5642662048339844,56,42122,,
,,56,42123,0.519498884677887,0.8205082416534424
0.7428644299507141,0.5703219175338745,57,42861,,
,,57,42862,0.5158109068870544,0.8222041130065918
0.7637398838996887,0.5482907295227051,58,43600,,
,,58,43601,0.5132413506507874,0.82327800989151
0.7561740875244141,0.5463252067565918,59,44339,,
,,59,44340,0.5108481049537659,0.8266274333000183
0.7534919381141663,0.5571384429931641,60,45078,,
,,60,45079,0.5075441598892212,0.8292449116706848
0.7580718994140625,0.5442655682563782,61,45817,,
,,61,45818,0.5057909488677979,0.8294016718864441
0.7602859735488892,0.5480563044548035,62,46556,,
,,62,46557,0.5011005401611328,0.8323398232460022
0.7593370676040649,0.5444608926773071,63,47295,,
,,63,47296,0.4987800717353821,0.8333131670951843
0.7576290369033813,0.5398834943771362,64,48034,,
,,64,48035,0.4986037611961365,0.833739697933197
0.7618674039840698,0.5448611378669739,65,48773,,
,,65,48774,0.49459388852119446,0.8350724577903748
0.7640562057495117,0.5404384732246399,66,49512,,
,,66,49513,0.49286484718322754,0.8380318284034729
0.7569711804389954,0.5541742444038391,67,50251,,
,,67,50252,0.4892026484012604,0.8410093784332275
0.7638031840324402,0.5428622364997864,68,50990,,
,,68,50991,0.4887523949146271,0.841140627861023
0.7654099464416504,0.5371946096420288,69,51729,,
,,69,51730,0.48583081364631653,0.8426119089126587
0.7644357681274414,0.5425724387168884,70,52468,,
,,70,52469,0.4823087751865387,0.8454918265342712
0.7603871822357178,0.5431249141693115,71,53207,,
,,71,53208,0.4820046126842499,0.8438082933425903
0.766485333442688,0.5312694907188416,72,53946,,
,,72,53947,0.4780005216598511,0.8476316332817078
0.7705971598625183,0.5326789021492004,73,54685,,
,,73,54686,0.4773414433002472,0.8466969728469849
0.7700658440589905,0.5282238125801086,74,55424,,
,,74,55425,0.47479185461997986,0.8493690490722656
0.7672191858291626,0.5357922315597534,75,56163,,
,,75,56164,0.47349560260772705,0.8500755429267883
0.7660804986953735,0.5339016914367676,76,56902,,
,,76,56903,0.4710635542869568,0.8525741100311279
0.7695217728614807,0.5280773043632507,77,57641,,
,,77,57642,0.47003301978111267,0.853411853313446
0.7693699598312378,0.5325906872749329,78,58380,,
,,78,58381,0.4679468274116516,0.8536786437034607
0.7748734951019287,0.5258444547653198,79,59119,,
,,79,59120,0.46637940406799316,0.8546133041381836
0.7747470140457153,0.5277456045150757,80,59858,,
,,80,59859,0.4626557230949402,0.8569216728210449
0.7609817981719971,0.5371244549751282,81,60597,,
,,81,60598,0.4622584283351898,0.8591796159744263
0.769294023513794,0.5255429148674011,82,61336,,
,,82,61337,0.461134672164917,0.8595565557479858
0.7777834534645081,0.5220325589179993,83,62075,,
,,83,62076,0.459322988986969,0.8593064546585083
0.772811233997345,0.5223220586776733,84,62814,,
,,84,62815,0.4575158655643463,0.8597504496574402
0.7682313323020935,0.5322269201278687,85,63553,,
,,85,63554,0.45549842715263367,0.8616621494293213
0.767661988735199,0.5239982008934021,86,64292,,
,,86,64293,0.4545760750770569,0.8617255687713623
0.7757591605186462,0.5186365842819214,87,65031,,
,,87,65032,0.4505537152290344,0.8645843267440796
0.7767080068588257,0.5157343149185181,88,65770,,
,,88,65771,0.44834768772125244,0.8655481934547424
0.7798709869384766,0.5098473429679871,89,66509,,
,,89,66510,0.44825443625450134,0.8666731119155884
0.7727479934692383,0.5135160088539124,90,67248,,
,,90,67249,0.4446450471878052,0.8675356507301331
0.7788588404655457,0.5116843581199646,91,67987,,
,,91,67988,0.44470468163490295,0.8684192895889282
0.7755060791969299,0.5182589292526245,92,68726,,
,,92,68727,0.4410797357559204,0.869827926158905
0.7767080068588257,0.5128909349441528,93,69465,,
,,93,69466,0.43908753991127014,0.8722171187400818
0.7820850610733032,0.5127521753311157,94,70204,,
,,94,70205,0.43828749656677246,0.8712612390518188
0.7780997157096863,0.5071665048599243,95,70943,,
,,95,70944,0.43688246607780457,0.874437153339386
0.7791118621826172,0.5099886059761047,96,71682,,
,,96,71683,0.4341468811035156,0.8733843564987183
0.7763917446136475,0.5110759735107422,97,72421,,
,,97,72422,0.43099063634872437,0.8765179514884949
0.7821483016014099,0.5055175423622131,98,73160,,
,,98,73161,0.4313430190086365,0.8770793080329895
0.784109354019165,0.5072241425514221,99,73899,,
,,99,73900,0.43019038438796997,0.876420259475708
0.7820850610733032,0.5058879852294922,100,74638,,
,,100,74639,0.4259886145591736,0.8796384334564209
0.7808198928833008,0.5132930874824524,101,75377,,
,,101,75378,0.4256906807422638,0.8788772821426392
0.7855010628700256,0.5030455589294434,102,76116,,
,,102,76117,0.4238201379776001,0.8801290988922119
0.7848684787750244,0.508521556854248,103,76855,,
,,103,76856,0.4199938476085663,0.8819175362586975
0.7860704064369202,0.5009862184524536,104,77594,,
,,104,77595,0.42024099826812744,0.8830046057701111
0.7816422581672668,0.5120218396186829,105,78333,,
,,105,78334,0.4172414541244507,0.8838707804679871
0.785083532333374,0.4977887272834778,106,79072,,
,,106,79073,0.41504886746406555,0.8878253102302551
0.7849317193031311,0.4980069696903229,107,79811,,
,,107,79812,0.4121725559234619,0.8878464698791504
0.7836032509803772,0.5027204155921936,108,80550,,
,,108,80551,0.40903449058532715,0.8896815776824951
0.7880313992500305,0.4953033924102783,109,81289,,
,,109,81290,0.4083966612815857,0.8898929953575134
0.7877151370048523,0.4983716905117035,110,82028,,
,,110,82029,0.40798404812812805,0.889080822467804
0.790435254573822,0.4942561984062195,111,82767,,
,,111,82768,0.4042567312717438,0.8917025923728943
0.7884109616279602,0.49554672837257385,112,83506,,
,,112,83507,0.40194669365882874,0.8936689496040344
0.7844889163970947,0.5003857612609863,113,84245,,
,,113,84246,0.3997334837913513,0.8948361873626709
0.7871457934379578,0.4943464994430542,114,84984,,
,,114,84985,0.39791199564933777,0.8940327167510986
0.7912322282791138,0.4900105893611908,115,85723,,
,,115,85724,0.3956470191478729,0.8963162302970886
0.7903087139129639,0.49379706382751465,116,86462,,
,,116,86463,0.39405155181884766,0.8966421484947205
0.7917637228965759,0.4890345633029938,117,87201,,
,,117,87202,0.3913228213787079,0.8979697823524475
0.7946103811264038,0.48500996828079224,118,87940,,
,,118,87941,0.3905137777328491,0.8983504176139832
0.7921685576438904,0.4878065884113312,119,88679,,
,,119,88680,0.3873421251773834,0.9005368947982788
0.789258599281311,0.49439987540245056,120,89418,,
,,120,89419,0.3840459883213043,0.9015896916389465
0.7921685576438904,0.4907609224319458,121,90157,,
,,121,90158,0.38248908519744873,0.9033825397491455
0.7926493287086487,0.4890148937702179,122,90896,,
,,122,90897,0.3797193765640259,0.9057126641273499
0.7910045981407166,0.4907633364200592,123,91635,,
,,123,91636,0.3766995370388031,0.9051206707954407
0.7923330068588257,0.48611634969711304,124,92374,,
,,124,92375,0.37572288513183594,0.9059918522834778
0.7922317981719971,0.48987334966659546,125,93113,,
,,125,93114,0.37394922971725464,0.90767902135849
0.7972292900085449,0.48070406913757324,126,93852,,
,,126,93853,0.37194114923477173,0.9080595970153809
0.7939397692680359,0.47900012135505676,127,94591,,
,,127,94592,0.368520587682724,0.9101359844207764
0.7984312176704407,0.47801077365875244,128,95330,,
,,128,95331,0.3672446608543396,0.9092902541160583
0.7991902828216553,0.4746531844139099,129,96069,,
,,129,96070,0.36485767364501953,0.9108971357345581
0.797735333442688,0.479169636964798,130,96808,,
,,130,96809,0.36115357279777527,0.9124698042869568
0.7990638017654419,0.4753561019897461,131,97547,,
,,131,97548,0.3590608239173889,0.9135860800743103
0.7972925305366516,0.4804506301879883,132,98286,,
,,132,98287,0.35764163732528687,0.9145929217338562
0.7988107204437256,0.47566571831703186,133,99025,,
,,133,99026,0.3555071949958801,0.9157178401947021
0.7945091128349304,0.4744769334793091,134,99764,,
,,134,99765,0.352529376745224,0.9166985154151917
0.7951416969299316,0.4791877567768097,135,100503,,
,,135,100504,0.3499123156070709,0.9174677133560181
0.7990005016326904,0.4704863727092743,136,101242,,
,,136,101243,0.3468078076839447,0.9188004732131958
0.7992535829544067,0.4707244038581848,137,101981,,
,,137,101982,0.34574660658836365,0.919329047203064
0.7964701652526855,0.47630053758621216,138,102720,,
,,138,102721,0.3436591923236847,0.9200224280357361
0.7984312176704407,0.4730839431285858,139,103459,,
,,139,103460,0.34035366773605347,0.9213245511054993
0.798051655292511,0.47117534279823303,140,104198,,
,,140,104199,0.33736103773117065,0.9223693609237671
0.7991270422935486,0.4717406928539276,141,104937,,
,,141,104938,0.3347017765045166,0.9236677885055542
0.7999494075775146,0.46810123324394226,142,105676,,
,,142,105677,0.33359768986701965,0.9247460961341858
0.7982414364814758,0.4691391885280609,143,106415,,
,,143,106416,0.33015522360801697,0.9259513020515442
0.7996963858604431,0.47137853503227234,144,107154,,
,,144,107155,0.3286757171154022,0.9254226684570312
0.7997596263885498,0.47078293561935425,145,107893,,
,,145,107894,0.3266936242580414,0.9261073470115662
0.8005819916725159,0.46902748942375183,146,108632,,
