val_triplet_acc,val_loss,epoch,step,loss,triplet_acc
0.2577176094055176,0.985663890838623,0,738,,
,,0,739,1.0312234163284302,0.1845785528421402
0.3962550461292267,0.8833768963813782,1,1477,,
,,1,1478,0.9440804719924927,0.32579630613327026
0.4519863426685333,0.8425126671791077,2,2216,,
,,2,2217,0.8858887553215027,0.40287289023399353
0.47760626673698425,0.8159515857696533,3,2955,,
,,3,2956,0.8526912331581116,0.45501330494880676
0.5031629800796509,0.7938451766967773,4,3694,,
,,4,3695,0.8284565806388855,0.4913005828857422
0.5538334846496582,0.7765249013900757,5,4433,,
,,5,4434,0.808067262172699,0.5209596753120422
0.5519989728927612,0.7595740556716919,6,5172,,
,,6,5173,0.7894833087921143,0.5494187474250793
0.5551619529724121,0.7530133128166199,7,5911,,
,,7,5912,0.7758132815361023,0.567470908164978
0.5840080976486206,0.7363461852073669,8,6650,,
,,8,6651,0.7615511417388916,0.5837440490722656
0.574291467666626,0.7387313842773438,9,7389,,
,,9,7390,0.7492991089820862,0.5990380644798279
0.5990637540817261,0.7200402021408081,10,8128,,
,,10,8129,0.7387465834617615,0.6096943616867065
0.6047697067260742,0.7219902873039246,11,8867,,
,,11,8868,0.7301807403564453,0.6199408769607544
0.6203820705413818,0.7080574631690979,12,9606,,
,,12,9607,0.7205907106399536,0.6274089217185974
0.6218497157096863,0.7103437781333923,13,10345,,
,,13,10346,0.7153776288032532,0.6294255256652832
0.6207110285758972,0.7033432722091675,14,11084,,
,,14,11085,0.7068190574645996,0.6378581523895264
0.6294407844543457,0.6949021220207214,15,11823,,
,,15,11824,0.7006695866584778,0.6419132947921753
0.6250126361846924,0.6971718668937683,16,12562,,
,,16,12563,0.6932992339134216,0.6485064029693604
0.6245065927505493,0.6905450820922852,17,13301,,
,,17,13302,0.6871567964553833,0.6518718600273132
0.6423709392547607,0.6747591495513916,18,14040,,
,,18,14041,0.6813656091690063,0.6566801071166992
0.6368041634559631,0.6786924004554749,19,14779,,
,,19,14780,0.6729705929756165,0.6608622074127197
0.6404478549957275,0.6732432246208191,20,15518,,
,,20,15519,0.667944610118866,0.6644347310066223
0.6475961208343506,0.6651582717895508,21,16257,,
,,21,16258,0.6607710719108582,0.6693239212036133
0.6484817862510681,0.6669553518295288,22,16996,,
,,22,16997,0.6545542478561401,0.674917459487915
0.6566042900085449,0.6624967455863953,23,17735,,
,,23,17736,0.6482591032981873,0.6803228855133057
0.6648659110069275,0.6540539860725403,24,18474,,
,,24,18475,0.6421133279800415,0.683383584022522
0.6641700267791748,0.6541193127632141,25,19213,,
,,25,19214,0.6374626159667969,0.6910885572433472
0.6774797439575195,0.6411948800086975,26,19952,,
,,26,19953,0.633138120174408,0.6949373483657837
0.6696356534957886,0.6421938538551331,27,20691,,
,,27,20692,0.6280933022499084,0.7006753087043762
0.6767206788063049,0.6363904476165771,28,21430,,
,,28,21431,0.622442901134491,0.7073434591293335
0.6685349345207214,0.6448824405670166,29,22169,,
,,29,22170,0.6207248568534851,0.7076526284217834
0.6843497157096863,0.6264929175376892,30,22908,,
,,30,22909,0.6161719560623169,0.7171627879142761
0.6899797320365906,0.6219202280044556,31,23647,,
,,31,23648,0.6111292243003845,0.722009003162384
0.6996204853057861,0.6168316006660461,32,24386,,
,,32,24387,0.6077309846878052,0.728064775466919
0.6968750357627869,0.61578369140625,33,25125,,
,,33,25126,0.6028717160224915,0.7336124181747437
0.7027581334114075,0.6175335645675659,34,25864,,
,,34,25865,0.6006646156311035,0.7363187670707703
0.7068952322006226,0.610308825969696,35,26603,,
,,35,26604,0.5939655900001526,0.7468438148498535
0.7108173370361328,0.6052747964859009,36,27342,,
,,36,27343,0.5894156694412231,0.7522149682044983
0.7041498422622681,0.619204044342041,37,28081,,
,,37,28082,0.5848724842071533,0.7578858137130737
0.7185096740722656,0.6025747060775757,38,28820,,
,,38,28821,0.5822945237159729,0.7631548643112183
0.7186614274978638,0.604398787021637,39,29559,,
,,39,29560,0.5780299305915833,0.7680805325508118
0.7143598198890686,0.6076383590698242,40,30298,,
,,40,30299,0.5715582966804504,0.7727240920066833
0.7273911833763123,0.5917273759841919,41,31037,,
,,41,31038,0.56828773021698,0.7797473669052124
0.7299848198890686,0.5856881141662598,42,31776,,
,,42,31777,0.5642684102058411,0.783807635307312
0.7346027493476868,0.5804791450500488,43,32515,,
,,43,32516,0.5598157644271851,0.7871147990226746
0.7276442646980286,0.5859750509262085,44,33254,,
,,44,33255,0.5561557412147522,0.7900959849357605
0.7385247945785522,0.5761371850967407,45,33993,,
,,45,33994,0.5545303225517273,0.7936640977859497
0.7425101399421692,0.574629545211792,46,34732,,
,,46,34733,0.5478906631469727,0.7998759150505066
0.7354251146316528,0.5842907428741455,47,35471,,
,,47,35472,0.5444764494895935,0.8005911111831665
0.7366270422935486,0.5748460292816162,48,36210,,
,,48,36211,0.5407242178916931,0.8046506643295288
0.7492788434028625,0.5723410844802856,49,36949,,
,,49,36950,0.5393960475921631,0.80525141954422
0.7417510151863098,0.5691166520118713,50,37688,,
,,50,37689,0.5359400510787964,0.8080161809921265
