val_triplet_acc,val_loss,epoch,step,loss,triplet_acc
0.31711792945861816,0.9803113341331482,0,738,,
,,0,739,1.0318481922149658,0.18206754326820374
0.38379302620887756,0.8866426348686218,1,1477,,
,,1,1478,0.9437031745910645,0.3253016471862793
0.47064778208732605,0.8422571420669556,2,2216,,
,,2,2217,0.8877134323120117,0.4000789225101471
0.4929782450199127,0.8118866682052612,3,2955,,
,,3,2956,0.8545922040939331,0.450434148311615
0.4979757070541382,0.7949758172035217,4,3694,,
,,4,3695,0.8297956585884094,0.4907419681549072
0.5567434430122375,0.7798033356666565,5,4433,,
,,5,4434,0.8111783266067505,0.5167300701141357
0.5373861193656921,0.7630311250686646,6,5172,,
,,6,5173,0.7935964465141296,0.5427365303039551
0.5846406817436218,0.7488272190093994,7,5911,,
,,7,5912,0.7793145179748535,0.5594779253005981
0.5817307829856873,0.7353881597518921,8,6650,,
,,8,6651,0.7654221057891846,0.5803422331809998
0.579959511756897,0.7289064526557922,9,7389,,
,,9,7390,0.7523761987686157,0.5942264199256897
0.6085526347160339,0.719662070274353,10,8128,,
,,10,8129,0.7429935932159424,0.603590190410614
0.603049099445343,0.7314144968986511,11,8867,,
,,11,8868,0.7342014312744141,0.611735999584198
0.6152721643447876,0.7043237090110779,12,9606,,
,,12,9607,0.7232380509376526,0.6246179938316345
0.5960414409637451,0.7082086205482483,13,10345,,
,,13,10346,0.7147527933120728,0.6323240995407104
0.6111603379249573,0.7025321125984192,14,11084,,
,,14,11085,0.7106625437736511,0.6326778531074524
0.6249508261680603,0.6870462894439697,15,11823,,
,,15,11824,0.7067866921424866,0.636576771736145
0.6315930485725403,0.6842201948165894,16,12562,,
,,16,12563,0.6950005292892456,0.6464338302612305
0.6389240622520447,0.6838089227676392,17,13301,,
,,17,13302,0.686133861541748,0.6532983779907227
0.6450039744377136,0.6724068522453308,18,14040,,
,,18,14041,0.6814297437667847,0.6561217308044434
0.6357681155204773,0.6717565655708313,19,14779,,
,,19,14780,0.6751227378845215,0.6595357060432434
0.641777753829956,0.6741256713867188,20,15518,,
,,20,15519,0.6697241067886353,0.663540244102478
0.6312345862388611,0.6728911995887756,21,16257,,
,,21,16258,0.6634273529052734,0.6659815907478333
0.6561375856399536,0.6549415588378906,22,16996,,
,,22,16997,0.6578685641288757,0.6715930700302124
0.6617043614387512,0.6500315070152283,23,17735,,
,,23,17736,0.6501625776290894,0.677664041519165
0.6587592959403992,0.6501681208610535,24,18474,,
,,24,18475,0.6447706818580627,0.6812077164649963
0.6775964498519897,0.6334086060523987,25,19213,,
,,25,19214,0.6395513415336609,0.687440812587738
0.6696960926055908,0.6394179463386536,26,19952,,
,,26,19953,0.6324250102043152,0.6955965161323547
0.6631593108177185,0.6416623592376709,27,20691,,
,,27,20692,0.6309284567832947,0.6997561454772949
0.6747638583183289,0.6356549263000488,28,21430,,
,,28,21431,0.6257443428039551,0.7049066424369812
0.688652753829956,0.6188363432884216,29,22169,,
,,29,22170,0.6227751970291138,0.7084334492683411
0.6892220973968506,0.6183440685272217,30,22908,,
,,30,22909,0.6150546073913574,0.7193251252174377
0.6865862607955933,0.6200463771820068,31,23647,,
,,31,23648,0.6130979061126709,0.7208051681518555
0.6909511685371399,0.6188252568244934,32,24386,,
,,32,24387,0.6090756058692932,0.7267535328865051
0.7006930708885193,0.6105695366859436,33,25125,,
,,33,25126,0.6053628325462341,0.7326397895812988
0.6972559690475464,0.6087667942047119,34,25864,,
,,34,25865,0.6016509532928467,0.74029940366745
0.7059505581855774,0.6079404354095459,35,26603,,
,,35,26604,0.5955840349197388,0.745576798915863
0.7109480500221252,0.5967389345169067,36,27342,,
,,36,27343,0.5921837091445923,0.7498026490211487
0.7117071747779846,0.6021615266799927,37,28081,,
,,37,28082,0.5852657556533813,0.7580035328865051
0.7199308276176453,0.5899722576141357,38,28820,,
,,38,28821,0.5814793705940247,0.762825608253479
0.7184126377105713,0.5944473147392273,39,29559,,
,,39,29560,0.5782933831214905,0.7689769268035889
0.7154183387756348,0.5942113995552063,40,30298,,
,,40,30299,0.572044849395752,0.7743008732795715
0.7242957353591919,0.5871919989585876,41,31037,,
,,41,31038,0.5688081979751587,0.7783970832824707
0.7291666865348816,0.583768367767334,42,31776,,
,,42,31777,0.5655627250671387,0.7840973138809204
0.7311207056045532,0.5777192115783691,43,32515,,
,,43,32516,0.5596969127655029,0.790145754814148
0.7272688746452332,0.583965003490448,44,33254,,
,,44,33255,0.5579137802124023,0.7909858226776123
0.7356823682785034,0.5741803050041199,45,33993,,
,,45,33994,0.5533909201622009,0.7967467308044434
0.7331519722938538,0.5760051012039185,46,34732,,
,,46,34733,0.5487616062164307,0.798625648021698
0.7399207353591919,0.5671513080596924,47,35471,,
,,47,35472,0.5455383658409119,0.8028022050857544
0.7425776124000549,0.5653771162033081,48,36210,,
,,48,36211,0.542182207107544,0.8044697046279907
0.7442223429679871,0.5612758994102478,49,36949,,
,,49,36950,0.5375483632087708,0.8064966797828674
0.7417552471160889,0.5660337209701538,50,37688,,
,,50,37689,0.5349640250205994,0.8082360625267029
0.7443488240242004,0.564903736114502,51,38427,,
,,51,38428,0.5327418446540833,0.8104349970817566
0.7499788999557495,0.5599156022071838,52,39166,,
,,52,39167,0.5288147330284119,0.8138362765312195
0.7427673935890198,0.5633405447006226,53,39905,,
,,53,39906,0.5273082852363586,0.8156574368476868
0.7462466359138489,0.5583740472793579,54,40644,,
,,54,40645,0.5228133797645569,0.8197804093360901
0.7288503646850586,0.5846183896064758,55,41383,,
,,55,41384,0.5213055610656738,0.8205204010009766
