val_triplet_acc,val_loss,epoch,step,loss,triplet_acc
0.25645244121551514,0.9907211661338806,0,738,,
,,0,739,1.031779408454895,0.18395736813545227
0.37310221791267395,0.8898604512214661,1,1477,,
,,1,1478,0.9451296925544739,0.32031944394111633
0.4852859079837799,0.8466876149177551,2,2216,,
,,2,2217,0.8859907984733582,0.39806967973709106
0.4905743896961212,0.816689133644104,3,2955,,
,,3,2956,0.8513703942298889,0.4544679522514343
0.5221406817436218,0.7984527945518494,4,3694,,
,,4,3695,0.8264652490615845,0.4910716414451599
0.5560728311538696,0.7857484817504883,5,4433,,
,,5,4434,0.8077649474143982,0.5201854109764099
0.5574012994766235,0.7640829682350159,6,5172,,
,,6,5173,0.7909168601036072,0.5421330332756042
0.5615764260292053,0.757171094417572,7,5911,,
,,7,5912,0.774366557598114,0.569251298904419
0.5730895400047302,0.7460543513298035,8,6650,,
,,8,6651,0.7623052000999451,0.5826694369316101
0.5882970690727234,0.7335392832756042,9,7389,,
,,9,7390,0.7519325017929077,0.5920184254646301
0.5929023623466492,0.7243760824203491,10,8128,,
,,10,8129,0.7398808598518372,0.6084344387054443
0.5822747945785522,0.7325596809387207,11,8867,,
,,11,8868,0.729440450668335,0.6195683479309082
0.610235333442688,0.716267466545105,12,9606,,
,,12,9607,0.720444917678833,0.6274672150611877
0.6178897023200989,0.7079428434371948,13,10345,,
,,13,10346,0.7119174599647522,0.6371217370033264
0.605427622795105,0.7059837579727173,14,11084,,
,,14,11085,0.7073338031768799,0.6401161551475525
0.633008599281311,0.6928700804710388,15,11823,,
,,15,11824,0.6997925043106079,0.6421371102333069
0.6170040369033813,0.6940577626228333,16,12562,,
,,16,12563,0.69184410572052,0.6491778492927551
0.6318066716194153,0.686326801776886,17,13301,,
,,17,13302,0.6864083409309387,0.6545403003692627
0.6216219663619995,0.6891255378723145,18,14040,,
,,18,14041,0.6800905466079712,0.6576432585716248
0.6378795504570007,0.6880133152008057,19,14779,,
,,19,14780,0.6735886931419373,0.6631113886833191
0.6311108469963074,0.6791508793830872,20,15518,,
,,20,15519,0.6670905947685242,0.6677454710006714
0.648127555847168,0.6742492318153381,21,16257,,
,,21,16258,0.6601502895355225,0.6726011633872986
0.6389549970626831,0.6669180989265442,22,16996,,
,,22,16997,0.6538087129592896,0.6752732396125793
0.6571735739707947,0.6576462388038635,23,17735,,
,,23,17736,0.6435205936431885,0.6850714087486267
0.6539600491523743,0.6582841873168945,24,18474,,
,,24,18475,0.6413686275482178,0.6871638894081116
0.6599063873291016,0.6521295309066772,25,19213,,
,,25,19214,0.6366152763366699,0.6921501159667969
0.6734438538551331,0.6406207084655762,26,19952,,
,,26,19953,0.634429395198822,0.6958246827125549
0.6694585084915161,0.6407977342605591,27,20691,,
,,27,20692,0.6288667321205139,0.7014357447624207
0.6800860166549683,0.6373674273490906,28,21430,,
,,28,21431,0.6247316598892212,0.7083503603935242
0.6826037764549255,0.6281580328941345,29,22169,,
,,29,22170,0.6198523640632629,0.7122064232826233
0.6889423131942749,0.6241186261177063,30,22908,,
,,30,22909,0.6163712739944458,0.7198567390441895
0.6867914795875549,0.6253183484077454,31,23647,,
,,31,23648,0.611832320690155,0.7238572239875793
0.690081000328064,0.6228047609329224,32,24386,,
,,32,24387,0.6086370348930359,0.7316970229148865
0.6900683641433716,0.6241419911384583,33,25125,,
,,33,25126,0.6042361855506897,0.7340607643127441
0.6986083388328552,0.613053023815155,34,25864,,
,,34,25865,0.5976026058197021,0.7432836294174194
0.7017838954925537,0.6068260073661804,35,26603,,
,,35,26604,0.5925276875495911,0.7502996325492859
0.7041118741035461,0.6060283780097961,36,27342,,
,,36,27343,0.5896519422531128,0.753923237323761
0.706439733505249,0.6057510375976562,37,28081,,
,,37,28082,0.5848243832588196,0.7620722055435181
0.705579400062561,0.603717029094696,38,28820,,
,,38,28821,0.5796176195144653,0.7672566771507263
0.7143345475196838,0.5958420634269714,39,29559,,
,,39,29560,0.5766614079475403,0.7699623107910156
0.7194837927818298,0.5904901623725891,40,30298,,
